PROPERTY.STREET.ADDRESS.OR.STOREFRONT.ADDRESS,LATITUDE,LONGITUDE,PRIMARY.BUSINESS.ACTIVITY,COMMUNITY.BOARD,IMPACTED
200 WEST 109 STREET,40.802313,-73.964751,RETAIL,107.0,True
200 WEST 109 STREET,40.802313,-73.964751,RETAIL,107.0,True
2824 BROADWAY,40.8037044,-73.9664836,RETAIL,107.0,True
1028 AMSTERDAM AVENUE,40.8035884,-73.9638721,RETAIL,109.0,True
2852 BROADWAY,40.8045442,-73.9659666,RETAIL,109.0,False
2848 BROADWAY,40.804418,-73.9660606,RETAIL,109.0,False
545 CATHEDRAL PARKWAY,40.804199,-73.966064,RETAIL,109.0,False
534 West 112th Street,40.8048815,-73.9649984,RETAIL,109.0,False
534 West 112th Street,40.8048815,-73.9649984,RETAIL,109.0,False
2874 BROADWAY,40.8050655,-73.9654968,RETAIL,109.0,False
1080 AMSTERDAM AVENUE,40.8051415,-73.9626829,RETAIL,109.0,True
301 West 96th Street,40.7955132,-73.9734004,RETAIL,107.0,False
737 West End Avenue,40.7955132,-73.9734004,RETAIL,107.0,False
301 West 107th street,40.8025632,-73.9683624,RETAIL,107.0,False
301 WEST 108 STREET,40.803414,-73.96777,RETAIL,107.0,False
301 WEST 108 STREET,40.803414,-73.96777,RETAIL,107.0,False
301 WEST 108 STREET,40.803414,-73.96777,RETAIL,107.0,False
301 WEST 108 STREET,40.803414,-73.96777,RETAIL,107.0,False
301 WEST 108 STREET,40.803414,-73.96777,RETAIL,107.0,False
301 WEST 108 STREET,40.803414,-73.96777,RETAIL,107.0,False
301 WEST 108 STREET,40.803414,-73.96777,RETAIL,107.0,False
301 WEST 108 STREET,40.803414,-73.96777,RETAIL,107.0,False
2915 BROADWAY,40.80677,-73.9653081,RETAIL,109.0,False
2929 BROADWAY,40.8071239,-73.9649719,RETAIL,109.0,False
2929 BROADWAY,40.8071239,-73.9649719,RETAIL,109.0,False
2941 BROADWAY,40.8077085,-73.9646754,RETAIL,109.0,False
600 WEST 116 STREET,40.8079472,-73.9644513,RETAIL,109.0,False
600 WEST 115 STREET,40.807297,-73.964874,RETAIL,109.0,False
600 WEST 115 STREET,40.807297,-73.964874,RETAIL,109.0,False
129 WEST 116 STREET,40.802804,-73.9508151,RETAIL,110.0,True
117 West 116th Street,40.8026502,-73.9504504,RETAIL,110.0,False
117 West 116th Street,40.8026502,-73.9504504,RETAIL,110.0,False
1941 ADAM C POWELL BLVD,40.8038474,-73.9515512,RETAIL,110.0,False
155 LENOX AVENUE,40.8033056,-73.9492001,RETAIL,110.0,False
155 LENOX AVENUE,40.8033056,-73.9492001,RETAIL,110.0,False
163 Malcolm X Blvd,40.8036843,-73.9489795,RETAIL,110.0,True
1979 ADAM C POWELL BLVD,40.8048845,-73.9507955,RETAIL,110.0,True
100 WEST 119 STREET,40.803915,-73.948766,RETAIL,110.0,True
1961 Adam Clayton Powell Jr Blvd,40.804553,-73.951041,RETAIL,110.0,False
1963 Adam Clayton Powell Jr Blvd,40.804553,-73.951041,RETAIL,110.0,False
1967 Adam Clayton Powell Jr Blvd,40.804553,-73.951041,RETAIL,110.0,False
1969 Adam Clayton Powell Jr Blvd,40.804553,-73.951041,RETAIL,110.0,False
183 Lenox Avenue,40.8042605,-73.9485167,RETAIL,110.0,False
2023 ADAM C POWELL BLVD,40.8064293,-73.9496926,RETAIL,110.0,True
245 LENOX AVENUE,40.8061894,-73.9471029,RETAIL,110.0,True
241 LENOX AVENUE,40.806085,-73.947179,RETAIL,110.0,True
2067 7th Avenue,40.8077628,-73.948691,RETAIL,110.0,False
2067 7th Avenue,40.8077628,-73.948691,RETAIL,110.0,False
2079 7th ave,40.808051,-73.9485391,RETAIL,110.0,True
100 WEST 125 STREET,40.807608,-73.946242,RETAIL,110.0,False
100 WEST 125 STREET,40.807608,-73.946242,RETAIL,110.0,False
148 WEST 125 STREET,40.8084349,-73.947791,RETAIL,110.0,False
114 WEST 125TH STREET,40.807847,-73.946556,RETAIL,110.0,False
114 WEST 125TH STREET,40.807847,-73.946556,RETAIL,110.0,False
105 WEST 125 STREET,40.80831,-73.9456,RETAIL,110.0,True
105 WEST 125 STREET,40.80831,-73.9456,RETAIL,110.0,True
105 WEST 125 STREET,40.80831,-73.9456,RETAIL,110.0,True
105 WEST 125 STREET,40.80831,-73.9456,RETAIL,110.0,True
113 WEST 128 STREET,40.8102478,-73.944813,RETAIL,110.0,False
363 LENOX AVENUE,40.8100609,-73.9442713,RETAIL,110.0,False
365 Lenox Avenue,40.8100609,-73.9442713,RETAIL,110.0,False
367 Lenox Avenue,40.8100609,-73.9442713,RETAIL,110.0,False
367 Lenox Avenue,40.8100609,-73.9442713,RETAIL,110.0,False
2167 ADAM C POWELL BLVD,40.8111762,-73.9462608,RETAIL,110.0,False
2167 ADAM C POWELL BLVD,40.8111762,-73.9462608,RETAIL,110.0,False
2167 ADAM C POWELL BLVD,40.8111762,-73.9462608,RETAIL,110.0,False
2167 ADAM C POWELL BLVD,40.8111762,-73.9462608,RETAIL,110.0,False
389 LENOX AVENUE,40.8108812,-73.9436276,RETAIL,110.0,False
389 LENOX AVENUE,40.8108812,-73.9436276,RETAIL,110.0,False
389 LENOX AVENUE,40.8108812,-73.9436276,RETAIL,110.0,False
2195 ADAM C POWELL BLVD,40.8118374,-73.9457798,RETAIL,110.0,False
381 Lenox Avenue,40.810646,-73.943837,RETAIL,110.0,False
2185 ADAM C POWELL BLVD,40.811637,-73.945899,RETAIL,110.0,True
465 LENOX AVENUE,40.8130735,-73.9421229,RETAIL,110.0,False
471 lenox ave NORTH store,40.8132683,-73.9419818,RETAIL,110.0,False
473 Lenox Avenue,40.8133863,-73.941895,RETAIL,110.0,False
473 Lenox Avenue,40.8133863,-73.941895,RETAIL,110.0,False
102 west 134th street East store,40.8134934,-73.9420828,RETAIL,110.0,False
102 west 134th street West store,40.8134934,-73.9420828,RETAIL,110.0,False
2275 ADAM C POWELL BLVD,40.8143836,-73.9439244,RETAIL,110.0,False
2299 ADAM CLAYTON POWELL JR BOULEVA,40.8150147,-73.9434687,RETAIL,110.0,False
2297 7 avenue,40.8149598,-73.9435049,RETAIL,110.0,False
527 LENOX AVENUE,40.8151861,-73.9405242,RETAIL,110.0,False
527 LENOX AVENUE,40.8151861,-73.9405242,RETAIL,110.0,False
527 LENOX AVENUE,40.8151861,-73.9405242,RETAIL,110.0,False
529 LENOX AVENUE,40.815252,-73.9404772,RETAIL,110.0,False
529 LENOX AVENUE,40.815252,-73.9404772,RETAIL,110.0,False
529 LENOX AVENUE,40.815252,-73.9404772,RETAIL,110.0,False
259 WEST 116 STREET,40.8044799,-73.9547691,RETAIL,110.0,False
259 WEST 116 STREET,40.8044799,-73.9547691,RETAIL,110.0,False
251 WEST 116 STREET,40.8043756,-73.9545272,RETAIL,110.0,False
2162 8 AVENUE,40.8047928,-73.9547436,RETAIL,110.0,False
227 WEST 116 STREET,40.80408,-73.9538,RETAIL,110.0,False
227 WEST 116 STREET,40.80408,-73.9538,RETAIL,110.0,False
203 WEST 118 STREET,40.8049097,-73.9518936,RETAIL,110.0,False
203 WEST 118 STREET,40.8049097,-73.9518936,RETAIL,110.0,False
1966 ADAM C POWELL BLVD,40.8049728,-73.9517599,RETAIL,110.0,False
273 West 121 st,40.8075614,-73.9526177,RETAIL,110.0,True
273 West 121 st,40.8075614,-73.9526177,RETAIL,110.0,True
2054 ADAM C POWELL BLVD,40.8075986,-73.9497893,RETAIL,110.0,False
2054 ADAM C POWELL BLVD,40.8075986,-73.9497893,RETAIL,110.0,False
272 w 125th street,40.8096715,-73.9511243,RETAIL,110.0,False
200 West 125 Street,40.8087456,-73.9489287,RETAIL,110.0,True
202 West 125 Street,40.8087456,-73.9489287,RETAIL,110.0,True
206 West 125 Street,40.8087456,-73.9489287,RETAIL,110.0,True
2084 Seventh Avenue,40.8087456,-73.9489287,RETAIL,110.0,True
208 WEST 125 STREET,40.8088637,-73.9492067,RETAIL,110.0,True
222 WEST 125TH STREET,40.8089654,-73.9494487,RETAIL,110.0,False
226 WEST 125TH STREET,40.8090258,-73.9495895,RETAIL,110.0,False
230 West 125 Street,40.8091083,-73.9499037,RETAIL,110.0,False
230 West 125 Street,40.8091083,-73.9499037,RETAIL,110.0,False
230 West 125 Street,40.8091083,-73.9499037,RETAIL,110.0,False
250 WEST 125 STREET,40.8093773,-73.9500444,RETAIL,110.0,False
252 WEST 125 STREET,40.8094295,-73.9501672,RETAIL,110.0,False
256 W 125th STREET,40.8093089,-73.9503913,RETAIL,110.0,False
256 W 125th STREET,40.8093089,-73.9503913,RETAIL,110.0,False
264 WEST 125 STREET,40.8095039,-73.9507307,RETAIL,110.0,True
2330 8 AVENUE,40.8102559,-73.9506506,RETAIL,110.0,False
261 West 125th Street,40.8101048,-73.9502931,RETAIL,110.0,False
243 WEST 125 STREET,40.8099234,-73.9498562,RETAIL,110.0,False
243 WEST 125 STREET,40.8099234,-73.9498562,RETAIL,110.0,False
243 WEST 125 STREET,40.8099234,-73.9498562,RETAIL,110.0,False
243 WEST 125 STREET,40.8099234,-73.9498562,RETAIL,110.0,False
239-241 west125,40.8098383,-73.9496575,RETAIL,110.0,False
219 WEST 125 STREET,40.8097036,-73.9493398,RETAIL,110.0,False
215 West 125th Street,40.8096925,-73.9489388,RETAIL,110.0,False
215 West 125th Street,40.8096925,-73.9489388,RETAIL,110.0,False
2342 8 AVENUE,40.810577,-73.9504698,RETAIL,110.0,False
2342 8 AVENUE,40.810577,-73.9504698,RETAIL,110.0,False
2338 FREDRICK DOUGLASS BL,40.8104288,-73.9505783,RETAIL,110.0,False
2338 FREDRICK DOUGLASS BL,40.8104288,-73.9505783,RETAIL,110.0,False
2450 FREDRICK DOUGLASS BL,40.8140479,-73.9479347,RETAIL,110.0,True
300 West 122nd Street,40.80812,-73.9533,RETAIL,110.0,False
2450 FREDRICK DOUGLASS BL,40.8140479,-73.9479347,RETAIL,110.0,True
2228 ADAM C POWELL BLVD,40.8131768,-73.9457643,RETAIL,110.0,False
2472 8th Ave,40.814764,-73.947414,RETAIL,110.0,False
2480 8th Avenue,40.814764,-73.947414,RETAIL,110.0,False
2476 8th Avenue,40.814764,-73.947414,RETAIL,110.0,False
2478 8th Avenue,40.814764,-73.947414,RETAIL,110.0,False
2244 ADAM C POWELL BLVD,40.8136433,-73.9454207,RETAIL,110.0,False
2246 SEVENTH AVE,40.8137091,-73.9453737,RETAIL,110.0,False
2423 SEVENTH AVE,40.8137091,-73.9453737,RETAIL,110.0,False
2248 ADAM C POWELL BLVD,40.8137667,-73.9453303,RETAIL,110.0,False
2272 ADAM C POWELL BLVD,40.8145377,-73.9447191,RETAIL,110.0,False
2526 8 AVENUE,40.8161634,-73.9463868,RETAIL,110.0,False
2284 ADAM C POWELL BLVD,40.8149273,-73.9444153,RETAIL,110.0,False
251 WEST 135TH ST,40.8165502,-73.9460072,RETAIL,110.0,False
215 WEST 135TH ST,40.8160253,-73.9446745,RETAIL,110.0,False
217 WEST 135TH ST,40.8160253,-73.9446745,RETAIL,110.0,False
2300 ADAM C POWELL BLVD,40.8156106,-73.9439848,RETAIL,110.0,False
2306 ADAM C POWELL BLVD,40.8157971,-73.9438474,RETAIL,110.0,False
2310 ADAM C POWELL BLVD,40.8159618,-73.943728,RETAIL,110.0,False
2330 ADAM C POWELL BLVD,40.8165846,-73.9432795,RETAIL,110.0,True
2322 Adam C Powell Blvd,40.81642,-73.943399,RETAIL,110.0,True
300 West 122nd Street,40.80812,-73.9533,RETAIL,110.0,False
278-281 St. Nicholas Avenue,40.8104217,-73.9532695,RETAIL,109.0,False
300-C West 125th Street,40.8100589,-73.9520885,RETAIL,110.0,False
300-C West 125th Street,40.8100589,-73.9520885,RETAIL,110.0,False
308 West 125th Street,40.8100589,-73.9520885,RETAIL,110.0,False
322 West 125th Street,40.8100589,-73.9520885,RETAIL,110.0,False
324 WEST 125 STREET,40.8104186,-73.9524459,RETAIL,110.0,False
317 West 125th Street,40.8108109,-73.9519977,RETAIL,110.0,False
313-15 WEST 125TH STREET B,40.8107752,-73.951864,RETAIL,110.0,False
309 WEST 125 STREET,40.8108272,-73.9516292,RETAIL,110.0,False
2329 8 AVENUE,40.8106486,-73.9512211,RETAIL,110.0,False
2329 8 AVENUE,40.8106486,-73.9512211,RETAIL,110.0,False
2329 8 AVENUE,40.8106486,-73.9512211,RETAIL,110.0,False
313-15 WEST 125TH STREET B,40.8110304,-73.9516905,RETAIL,110.0,False
2355 8TH AVE,40.8111974,-73.9508342,RETAIL,110.0,False
2395 Frederick Douglas Bl,40.81254,-73.9497,RETAIL,110.0,False
2463 FREDRICK DOUGLASS BL,40.8147123,-73.9482557,RETAIL,110.0,False
300 West 135th Street,40.816365,-73.947366,RETAIL,110.0,False
1201 AMSTERDAM AVENUE,40.8087579,-73.9591444,RETAIL,109.0,False
449 WEST 125 STREET,40.8128434,-73.9553848,RETAIL,109.0,False
449 WEST 125 STREET,40.8128434,-73.9553848,RETAIL,109.0,False
437 WEST 125 STREET,40.8123684,-73.9549841,RETAIL,109.0,False
437 WEST 125 STREET,40.8123684,-73.9549841,RETAIL,109.0,False
437 WEST 125 STREET,40.8123684,-73.9549841,RETAIL,109.0,False
437 WEST 125 STREET,40.8123684,-73.9549841,RETAIL,109.0,False
1355 AMSTERDAM AVENUE,40.8138343,-73.9556334,RETAIL,109.0,False
21 Convent Avenue,40.8135532,-73.952841,RETAIL,109.0,False
1473 Amsterdam,40.8172669,-73.9530769,RETAIL,109.0,False
1465 Amsterdam Avenue,40.817009,-73.9532107,RETAIL,109.0,False
1254 AMSTERDAM AVENUE,40.8105665,-73.9587134,RETAIL,109.0,False
1268 AMSTERDAM AVENUE,40.8111098,-73.9583229,RETAIL,109.0,False
1272 AMSTERDAM AVENUE,40.8111098,-73.9583229,RETAIL,109.0,False
1272 AMSTERDAM AVENUE,40.8111098,-73.9583229,RETAIL,109.0,False
1274 AMSTERDAM AVENUE,40.8111098,-73.9583229,RETAIL,109.0,False
70 Lasalle Street,40.8125152,-73.9586977,RETAIL,109.0,False
556 WEST 126 STREET,40.815803,-73.9575179,RETAIL,109.0,False
3300 Broadway,40.8189559,-73.9554241,RETAIL,109.0,True
501 WEST 133RD STREET,40.8178517,-73.9534124,RETAIL,109.0,False
1484 AMSTERDAM AVENUE,40.8179505,-73.9533365,RETAIL,109.0,False
3320 BROADWAY,40.8195815,-73.9549684,RETAIL,109.0,False
3320 BROADWAY,40.8195815,-73.9549684,RETAIL,109.0,False
501 West 134th Street,40.8184801,-73.9529568,RETAIL,109.0,False
1514 AMSTERDAM AVENUE,40.8187709,-73.9527434,RETAIL,109.0,False
1516 Amsterdam Avenue,40.8188697,-73.9526711,RETAIL,109.0,False
535 WEST 135TH STREET,40.8201549,-73.9544875,RETAIL,109.0,True
535 WEST 135TH STREET,40.8201549,-73.9544875,RETAIL,109.0,True
535 WEST 135TH STREET,40.8201549,-73.9544875,RETAIL,109.0,True
1532 Amsterdam Avenue,40.8194925,-73.9522154,RETAIL,109.0,False
1532 Amsterdam Avenue,40.8194925,-73.9522154,RETAIL,109.0,False
1536 AMSTERDAM AVENUE,40.8195913,-73.9521431,RETAIL,109.0,False
1536 AMSTERDAM AVENUE,40.8195913,-73.9521431,RETAIL,109.0,False
1536 AMSTERDAM AVENUE,40.8195913,-73.9521431,RETAIL,109.0,False
3105 BROADWAY,40.8129578,-73.9607638,RETAIL,109.0,False
3157 Broadway,40.8148622,-73.959408,RETAIL,109.0,False
3181 Broadway,40.815485,-73.958945,RETAIL,109.0,True
3189 Broadway,40.815485,-73.958945,RETAIL,109.0,True
2331 2331 12th avenue,40.8199698,-73.9584294,RETAIL,109.0,False
3363 Broadway,40.8211212,-73.9548409,RETAIL,109.0,True
3361 Broadway,40.8211212,-73.9548409,RETAIL,109.0,True
602 West 137th Street Store# 4,40.8213874,-73.9546998,RETAIL,109.0,True
703 WEST 133 STREET,40.8202719,-73.9589892,RETAIL,109.0,False
555 LENOX AVENUE,40.816358,-73.93966,RETAIL,110.0,False
555 LENOX AVENUE,40.816358,-73.93966,RETAIL,110.0,False
2389 ADAM CLAYTON POWELL JR BLVD,40.81811,-73.9411,RETAIL,110.0,False
607 LENOX AVENUE,40.8176308,-73.938824,RETAIL,110.0,False
607 LENOX AVENUE,40.8176308,-73.938824,RETAIL,110.0,False
100 WEST 141 STREET,40.8178805,-73.9386467,RETAIL,110.0,False
100 WEST 141 STREET,40.8178805,-73.9386467,RETAIL,110.0,False
100 WEST 141 STREET,40.8178805,-73.9386467,RETAIL,110.0,False
2413 Adam Clayton Powell Blvd,40.8188284,-73.9406185,RETAIL,110.0,False
100 WEST 143 STREET,40.8191809,-73.9376375,RETAIL,110.0,True
100 WEST 143 STREET,40.8191809,-73.9376375,RETAIL,110.0,True
100 WEST 143 STREET,40.8191809,-73.9376375,RETAIL,110.0,True
100 WEST 143 STREET,40.8191809,-73.9376375,RETAIL,110.0,True
701 ESPLANADE GDNS PLAZA,40.8208079,-73.9364654,RETAIL,110.0,False
164 west 146th street,40.8220248,-73.9382816,RETAIL,110.0,False
273 West 138 Street,40.8185203,-73.9447844,RETAIL,110.0,False
273 West 138 Street,40.8185203,-73.9447844,RETAIL,110.0,False
267 West 139 Street,40.8191377,-73.9443395,RETAIL,110.0,False
2714 FREDRICK DOUGLASS BL,40.8222518,-73.9419523,RETAIL,110.0,True
2718 FREDRICK DOUGLASS BL,40.8223478,-73.9418799,RETAIL,110.0,False
2718 FREDRICK DOUGLASS BL,40.8223478,-73.9418799,RETAIL,110.0,False
2722 Fredrick Douglass Bl,40.8224438,-73.9418112,RETAIL,110.0,False
2492 ADAM C POWELL BLVD,40.8215342,-73.9396514,RETAIL,110.0,False
2492 ADAM C POWELL BLVD,40.8215342,-73.9396514,RETAIL,110.0,False
2492 ADAM C POWELL BLVD,40.8215342,-73.9396514,RETAIL,110.0,False
200 WEST 145 STREET,40.821633,-73.9395791,RETAIL,110.0,False
200 WEST 145 STREET,40.821633,-73.9395791,RETAIL,110.0,False
200 WEST 145 STREET,40.821633,-73.9395791,RETAIL,110.0,False
200 WEST 145 STREET,40.821633,-73.9395791,RETAIL,110.0,False
2738 FREDRICK DOUGLASS BL,40.8230639,-73.9413482,RETAIL,110.0,False
219 WEST 145 STREET,40.8223331,-73.9399975,RETAIL,110.0,False
219 WEST 145 STREET,40.8223331,-73.9399975,RETAIL,110.0,False
215 WEST 145 STREET,40.8223331,-73.9399975,RETAIL,110.0,False
215 WEST 145 STREET,40.8223331,-73.9399975,RETAIL,110.0,False
2500 ADAM C POWELL BLVD,40.8219595,-73.9393367,RETAIL,110.0,False
2500 ADAM C POWELL BLVD,40.8219595,-73.9393367,RETAIL,110.0,False
2504 ADAM C POWELL BLVD,40.8220583,-73.9392643,RETAIL,110.0,False
2504 ADAM C POWELL BLVD,40.8220583,-73.9392643,RETAIL,110.0,False
2504 ADAM C POWELL BLVD,40.8220583,-73.9392643,RETAIL,110.0,False
2530 Adam C Powell Blvd,40.8228018,-73.9387181,RETAIL,110.0,False
2542 ADAM C POWELL BLVD,40.8233121,-73.9383635,RETAIL,110.0,True
2542 ADAM C POWELL BLVD,40.8233121,-73.9383635,RETAIL,110.0,True
2800 8 AVENUE,40.8251326,-73.9398324,RETAIL,110.0,False
2800 8 AVENUE,40.8251326,-73.9398324,RETAIL,110.0,False
2798 Fredrick Douglas Blvd.,40.8250421,-73.9399012,RETAIL,110.0,False
2802 FREDRICK DOUGLASS BL,40.825088,-73.9384197,RETAIL,110.0,False
44 MACOMBS PLACE,40.8264182,-73.9367238,RETAIL,110.0,True
263 WEST 152 STREET,40.8272039,-73.9380058,RETAIL,110.0,False
2593 FREDRICK DOUGLASS BL,40.8187072,-73.9452937,RETAIL,110.0,False
2593 FREDRICK DOUGLASS BL,40.8187072,-73.9452937,RETAIL,110.0,False
2655 Fredrick Douglass Bl,40.8208885,-73.9437491,RETAIL,110.0,False
2657 Fredrick Douglass Bl,40.8209489,-73.9437057,RETAIL,110.0,False
22 BRADHURST AVENUE,40.8220989,-73.9436722,RETAIL,110.0,False
22 BRADHURST AVENUE,40.8220989,-73.9436722,RETAIL,110.0,False
2697 FREDRICK DOUGLASS BL,40.8218324,-73.9430583,RETAIL,110.0,False
2707 FREDRICK DOUGLASS BL,40.8221314,-73.9428412,RETAIL,110.0,False
2709 8 AVENUE,40.8221973,-73.9427906,RETAIL,110.0,False
68 BRADHURST AVENUE,40.823391,-73.942262,RETAIL,110.0,False
580 SAINT NICHOLAS AVENUE,40.819962,-73.9462537,RETAIL,110.0,False
622 St Nicholas Avenue,40.821024,-73.9458084,RETAIL,110.0,False
412 WEST 145 STREET,40.8241337,-73.9457264,RETAIL,109.0,False
330 WEST 145 STREET,40.823227,-73.943559,RETAIL,109.0,False
345 West 145th Street New York,40.824122,-73.9440933,RETAIL,109.0,False
345 West 145th Street New York,40.824122,-73.9440933,RETAIL,109.0,False
752 St Nicholas Ave,40.8256366,-73.9431815,RETAIL,109.0,False
756 ST NICHOLAS AVENUE,40.8258671,-73.9429572,RETAIL,109.0,False
1697 AMSTERDAM AVENUE,40.8246672,-73.9477675,RETAIL,109.0,False
1697 AMSTERDAM AVENUE,40.8246672,-73.9477675,RETAIL,109.0,False
1697 AMSTERDAM AVENUE,40.8246672,-73.9477675,RETAIL,109.0,False
1697 AMSTERDAM AVENUE,40.8246672,-73.9477675,RETAIL,109.0,False
1697 AMSTERDAM AVENUE,40.8246672,-73.9477675,RETAIL,109.0,False
1697 AMSTERDAM AVENUE,40.8246672,-73.9477675,RETAIL,109.0,False
1709 AMSTERDAM AVENUE,40.8249168,-73.9475866,RETAIL,109.0,False
1709 AMSTERDAM AVENUE,40.8249168,-73.9475866,RETAIL,109.0,False
1709 AMSTERDAM AVENUE,40.8249168,-73.9475866,RETAIL,109.0,False
1709 AMSTERDAM AVENUE,40.8249168,-73.9475866,RETAIL,109.0,False
470 Convent Avenue,40.8282635,-73.9435984,RETAIL,109.0,True
470 Convent Avenue,40.8282635,-73.9435984,RETAIL,109.0,True
470 Convent Avenue,40.8282635,-73.9435984,RETAIL,109.0,True
470 Convent Avenue,40.8282635,-73.9435984,RETAIL,109.0,True
470 Convent Avenue,40.8282635,-73.9435984,RETAIL,109.0,True
470 Convent Avenue,40.8282635,-73.9435984,RETAIL,109.0,True
1835 Amsterdam Avenue,40.828791,-73.9446025,RETAIL,109.0,False
1887 AMSTERDAM AVENUE,40.8304208,-73.9434086,RETAIL,109.0,True
3410 BROADWAY,40.8222102,-73.9531637,RETAIL,109.0,False
3410 BROADWAY,40.8222102,-73.9531637,RETAIL,109.0,False
1614 AMSTERDAM AVENUE,40.8218523,-73.9504831,RETAIL,109.0,False
1616 Amsterdam Avenue,40.8220252,-73.9504143,RETAIL,109.0,True
1616 Amsterdam Avenue,40.8220252,-73.9504143,RETAIL,109.0,True
3450 BROADWAY,40.8235574,-73.9521005,RETAIL,109.0,True
3450 BROADWAY,40.8235574,-73.9521005,RETAIL,109.0,True
3450 BROADWAY,40.8235574,-73.9521005,RETAIL,109.0,True
1624 AMSTERDAM AVENUE,40.822297,-73.950161,RETAIL,109.0,True
1704 AMSTERDAM AVE,40.8250598,-73.948161,RETAIL,109.0,False
508 West 145 Street,40.8253098,-73.9485257,RETAIL,109.0,False
518 WEST 145 STREET,40.8254829,-73.9489375,RETAIL,109.0,False
518 WEST 145 STREET,40.8254829,-73.9489375,RETAIL,109.0,False
528 W 145th,40.8256587,-73.9493565,RETAIL,109.0,False
536 West 145th ST,40.8257769,-73.9496346,RETAIL,109.0,False
538 West 145th ST,40.8257769,-73.9496346,RETAIL,109.0,False
3534-3540 Broadway,40.8260269,-73.9502343,RETAIL,109.0,False
3534-3540 Broadway,40.8260269,-73.9502343,RETAIL,109.0,False
3542 BROADWAY,40.8264823,-73.9498545,RETAIL,109.0,False
565 W 145 STREET,40.8264823,-73.9498545,RETAIL,109.0,False
547 WEST 145 STREET,40.8263285,-73.9494861,RETAIL,109.0,False
1722 AMSTERDAM AVENUE,40.8255702,-73.9477704,RETAIL,109.0,False
3560 Broadway,40.8271436,-73.9494638,RETAIL,109.0,True
3576 BROADWAY,40.8273659,-73.9492468,RETAIL,109.0,True
3576 BROADWAY,40.8273659,-73.9492468,RETAIL,109.0,True
3574 BROADWAY,40.8273659,-73.9492468,RETAIL,109.0,True
3570 BROADWAY,40.8273659,-73.9492468,RETAIL,109.0,True
1774 AMSTERDAM AVENUE,40.8271561,-73.9466092,RETAIL,109.0,False
1774 AMSTERDAM AVENUE,40.8271561,-73.9466092,RETAIL,109.0,False
1774 AMSTERDAM AVENUE,40.8271561,-73.9466092,RETAIL,109.0,False
3590 Broadway,40.8279777,-73.9487549,RETAIL,109.0,False
3590 Broadway,40.8279777,-73.9487549,RETAIL,109.0,False
3590 Broadway,40.8279777,-73.9487549,RETAIL,109.0,False
1820 AMSTERDAM AVENUE,40.8288408,-73.9453685,RETAIL,109.0,False
1820 AMSTERDAM AVENUE,40.8288408,-73.9453685,RETAIL,109.0,False
1820 AMSTERDAM AVENUE,40.8288408,-73.9453685,RETAIL,109.0,False
561 WSest 152 St,40.8307902,-73.9468087,RETAIL,109.0,True
3381 BROADWAY,40.8217578,-73.954425,RETAIL,109.0,True
600 West 138 Street Store #1,40.8219883,-73.9542044,RETAIL,109.0,False
3409 BROADWAY,40.8224877,-73.9538319,RETAIL,109.0,False
3413 BROADWAY,40.8225837,-73.9537596,RETAIL,109.0,False
3413 BROADWAY,40.8225837,-73.9537596,RETAIL,109.0,False
3417 BROADWAY,40.8226853,-73.9536837,RETAIL,109.0,True
3417 BROADWAY,40.8226853,-73.9536837,RETAIL,109.0,True
3417 BROADWAY,40.8226853,-73.9536837,RETAIL,109.0,True
3417 BROADWAY,40.8226853,-73.9536837,RETAIL,109.0,True
3417 BROADWAY,40.8226853,-73.9536837,RETAIL,109.0,True
608 WEST 139 STREET,40.8228694,-73.9543411,RETAIL,109.0,False
3427 Broadway,40.8232203,-73.9532461,RETAIL,109.0,True
3437 Broadway,40.823599,-73.9529893,RETAIL,109.0,False
3445 Broadway,40.823599,-73.9529893,RETAIL,109.0,False
3447 Broadway,40.823599,-73.9529893,RETAIL,109.0,False
3449 Broadway,40.8238514,-73.9528048,RETAIL,109.0,False
3457 Broadway,40.8238514,-73.9528048,RETAIL,109.0,False
601 West 141 Street Store #1,40.8242301,-73.9525372,RETAIL,109.0,False
601 West 141 Street Store #5,40.8242301,-73.9525372,RETAIL,109.0,False
3481 broadway,40.8247926,-73.9521249,RETAIL,109.0,True
601A West 144th Street,40.8261014,-73.9511917,RETAIL,109.0,False
3527 Broadway,40.8261014,-73.9511917,RETAIL,109.0,False
3569 broadway,40.8274541,-73.9502115,RETAIL,109.0,False
3571-3579 Broadway,40.8276516,-73.9499115,RETAIL,109.0,False
3571-3579 Broadway,40.8276516,-73.9499115,RETAIL,109.0,False
3571-3579 Broadway,40.8276516,-73.9499115,RETAIL,109.0,False
3621 BROADWAY,40.8293666,-73.9489345,RETAIL,109.0,False
600 West 150th Street Store# 2,40.8295806,-73.9486923,RETAIL,109.0,False
601 West 151st Street Store# 4,40.8306041,-73.9480049,RETAIL,109.0,False
601 West 151st Street Store# 7,40.8306041,-73.9480049,RETAIL,109.0,False
3671 Broadway,40.8308538,-73.947824,RETAIL,109.0,False
3671 Broadway,40.8308538,-73.947824,RETAIL,109.0,False
3671 Broadway,40.8308538,-73.947824,RETAIL,109.0,False
3671 Broadway,40.8308538,-73.947824,RETAIL,109.0,False
3671 Broadway,40.8308538,-73.947824,RETAIL,109.0,False
904 St. Nicholas Avenue,40.8310838,-73.941052,RETAIL,112.0,False
