PROPERTY.STREET.ADDRESS.OR.STOREFRONT.ADDRESS,LATITUDE,LONGITUDE,PRIMARY.BUSINESS.ACTIVITY,COMMUNITY.BOARD,IMPACTED
37 WALL STREET,40.7063033,-74.0102289,RETAIL,101.0,False
63 Wall Street,40.7056282,-74.0087752,RETAIL,101.0,True
3 HANOVER SQUARE,40.7050024,-74.0096227,RETAIL,101.0,False
5 HANOVER SQUARE,40.7050683,-74.0092332,RETAIL,101.0,True
85 BROAD STREET,40.7039922,-74.0110544,RETAIL,101.0,False
77 Pearl Street,40.7040416,-74.0104954,RETAIL,101.0,True
77 Pearl Street,40.7040416,-74.0104954,RETAIL,101.0,True
77 Pearl Street,40.7040416,-74.0104954,RETAIL,101.0,True
77 Pearl Street,40.7040416,-74.0104954,RETAIL,101.0,True
77 Pearl Street,40.7040416,-74.0104954,RETAIL,101.0,True
77 Pearl Street,40.7040416,-74.0104954,RETAIL,101.0,True
17 SOUTH WILLIAM STREET,40.7044506,-74.0104558,RETAIL,101.0,True
19 SOUTH WILLIAM STREET,40.7044149,-74.0105171,RETAIL,101.0,True
67 Broad Street,40.7046838,-74.0112385,RETAIL,101.0,False
2 COENTIES,40.7036574,-74.0104052,RETAIL,101.0,True
110 Pearl St.,40.7045688,-74.0088581,RETAIL,101.0,False
10 Hanover Sq.,40.7045688,-74.0088581,RETAIL,101.0,False
10 Hanover Sq.,40.7045688,-74.0088581,RETAIL,101.0,False
10 Hanover Sq.,40.7045688,-74.0088581,RETAIL,101.0,False
55 Water Street,40.703183,-74.009154,RETAIL,101.0,False
77 Water Street,40.7042257,-74.008198,RETAIL,101.0,False
95 WALL STREET,40.7046759,-74.0075813,RETAIL,101.0,False
32 Old Slip,40.7038085,-74.007693,RETAIL,101.0,False
32 Old Slip,40.7038085,-74.007693,RETAIL,101.0,False
110 Wall Street,40.7049093,-74.006355,RETAIL,101.0,False
110 Wall Street,40.7049093,-74.006355,RETAIL,101.0,False
100 WALL STREET,40.7052441,-74.0067554,RETAIL,101.0,False
100 WALL STREET,40.7052441,-74.0067554,RETAIL,101.0,False
110 MAIDEN LANE,40.7061471,-74.0068024,RETAIL,101.0,False
110 MAIDEN LANE,40.7061471,-74.0068024,RETAIL,101.0,False
18 PINE STREET,40.707728,-74.009735,RETAIL,101.0,False
18 PINE STREET,40.707728,-74.009735,RETAIL,101.0,False
100 BROADWAY,40.7079666,-74.01112,RETAIL,101.0,False
120 BROADWAY,40.70821,-74.0105,RETAIL,101.0,False
120 BROADWAY,40.70821,-74.0105,RETAIL,101.0,False
120 BROADWAY,40.70821,-74.0105,RETAIL,101.0,False
120 BROADWAY,40.70821,-74.0105,RETAIL,101.0,False
120 BROADWAY,40.70821,-74.0105,RETAIL,101.0,False
101 GREENWICH STREET,40.7080871,-74.0131688,RETAIL,101.0,False
101 GREENWICH STREET,40.7080871,-74.0131688,RETAIL,101.0,False
114 LIBERTY STREET,40.709704,-74.012275,RETAIL,101.0,True
90 WEST STREET,40.7099919,-74.0142584,RETAIL,101.0,False
