job__,Age,lat,long,c_b_no,Height,Color,Around_Store,Store_Num
104282401,6651.0,40.777982,-73.961962,108.0,1000.0,"[210, 196, 174, 255]",False,0
104302773,6632.0,40.759497,-73.963672,106.0,997.1514242878561,"[210, 196, 174, 255]",False,0
104416464,6489.0,40.829116,-73.939876,109.0,975.712143928036,"[210, 196, 174, 255]",False,0
104697721,6168.0,40.779035,-73.978578,107.0,927.5862068965517,"[210, 196, 174, 255]",False,0
104738991,6121.0,40.759497,-73.963672,106.0,920.5397301349325,"[210, 196, 174, 255]",False,0
110357952,5585.0,40.791567,-73.964767,107.0,840.1799100449775,"[210, 196, 174, 255]",False,0
120351662,5012.0,40.7819,-73.948798,108.0,754.2728635682158,"[210, 196, 174, 255]",False,0
120486633,4873.0,40.726605,-73.979302,103.0,733.4332833583209,"[210, 196, 174, 255]",False,0
120526225,4837.0,40.720041,-73.98926,103.0,728.0359820089956,"[242, 131, 55, 255]",True,4
120725705,4613.0,40.758594,-73.994961,104.0,694.4527736131934,"[210, 196, 174, 255]",False,0
120987236,4354.0,40.745722,-74.003511,104.0,655.6221889055472,"[210, 196, 174, 255]",False,0
121045127,4301.0,40.708266,-74.008231,101.0,647.6761619190404,"[210, 196, 174, 255]",False,0
121097945,4214.0,40.780713,-73.982516,107.0,634.6326836581709,"[210, 196, 174, 255]",False,0
121146811,4214.0,40.780609,-73.982267,107.0,634.6326836581709,"[242, 131, 55, 255]",True,1
121276172,2359.0,40.709468,-74.012931,101.0,356.52173913043475,"[210, 196, 174, 255]",False,0
121844941,3710.0,40.780406,-73.98594,107.0,559.0704647676163,"[210, 196, 174, 255]",False,0
121987109,3571.0,40.71826,-74.001699,101.0,538.2308845577212,"[210, 196, 174, 255]",False,0
122008781,3514.0,40.781248,-73.981819,107.0,529.6851574212894,"[242, 131, 55, 255]",True,1
122106078,3453.0,40.802505,-73.950848,110.0,520.5397301349325,"[242, 131, 55, 255]",True,3
122199236,3341.0,40.74176,-73.98523,105.0,503.74812593703143,"[210, 196, 174, 255]",False,0
122280218,3249.0,40.709174,-74.013057,101.0,489.9550224887556,"[210, 196, 174, 255]",False,0
122538995,2978.0,40.727529,-73.994101,102.0,449.32533733133437,"[242, 131, 55, 255]",True,1
122574570,2948.0,40.739118,-73.993274,105.0,444.82758620689657,"[210, 196, 174, 255]",False,0
122656009,2943.0,40.820537,-73.956128,109.0,444.07796101949026,"[210, 196, 174, 255]",False,0
122736646,2765.0,40.723275,-74.009575,101.0,417.39130434782606,"[210, 196, 174, 255]",False,0
122887242,2646.0,40.746408,-74.006954,104.0,399.5502248875562,"[242, 131, 55, 255]",True,2
123070292,2479.0,40.724013,-73.997987,102.0,374.51274362818594,"[242, 131, 55, 255]",True,1
123075199,2486.0,40.760858,-73.987157,104.0,375.56221889055473,"[242, 131, 55, 255]",True,1
123336498,2333.0,40.734163,-73.988627,106.0,352.623688155922,"[210, 196, 174, 255]",False,0
140113339,3796.0,40.790102,-73.976981,107.0,571.9640179910045,"[210, 196, 174, 255]",False,0
140325734,3229.0,40.714607,-74.008903,101.0,486.95652173913044,"[242, 131, 55, 255]",True,1
140359485,3156.0,40.791582,-73.968548,107.0,476.0119940029985,"[210, 196, 174, 255]",False,0
140378614,3097.0,40.805324,-73.945117,110.0,467.1664167916042,"[210, 196, 174, 255]",False,0
140380932,3109.0,40.742612,-73.997896,104.0,468.9655172413793,"[210, 196, 174, 255]",False,0
140413390,2997.0,40.772411,-73.986169,107.0,452.17391304347825,"[210, 196, 174, 255]",False,0
140419624,3020.0,40.710105,-74.007495,101.0,455.6221889055472,"[242, 131, 55, 255]",True,2
140462416,2898.0,40.785209,-73.980522,107.0,437.3313343328336,"[210, 196, 174, 255]",False,0
140468090,2884.0,40.766702,-73.992726,104.0,435.23238380809596,"[210, 196, 174, 255]",False,0
140506600,2789.0,40.757301,-73.987883,105.0,420.9895052473763,"[210, 196, 174, 255]",False,0
140528329,2738.0,40.764014,-73.981117,105.0,413.3433283358321,"[210, 196, 174, 255]",False,0
140567376,2652.0,40.774267,-73.963285,108.0,400.4497751124438,"[242, 131, 55, 255]",True,8
140571021,2634.0,40.759727,-73.985886,105.0,397.7511244377811,"[210, 196, 174, 255]",False,0
140591321,2565.0,40.790557,-73.975862,107.0,387.4062968515742,"[210, 196, 174, 255]",False,0
140597478,2564.0,40.749345,-73.976938,106.0,387.256371814093,"[242, 131, 55, 255]",True,3
140612200,2520.0,40.749631,-73.97767,106.0,380.65967016491754,"[242, 131, 55, 255]",True,1
